trait	summary_type	feature	S_21_10_22__rep1	S_21_10_22__rep2	S_21_10_22__rep3	S_21_12_20__rep1	S_21_12_20__rep2	S_21_12_20__rep3	S_22_02_24__rep1	S_22_02_24__rep2	S_22_02_24__rep3	S_22_04_28__rep1	S_22_04_28__rep2	S_22_04_28__rep3	S_22_06_29__rep1	S_22_06_29__rep2	S_22_06_29__rep3	S_22_09_09__rep1	S_22_09_09__rep2	S_22_09_09__rep3	S_22_10_21__rep1	S_22_10_21__rep2	S_22_10_21__rep3	S_22_12_16__rep1	S_22_12_16__rep2	S_22_12_16__rep3	S_23_04_20__rep1	S_23_04_20__rep2	S_23_04_20__rep3	S_23_07_03__rep1	S_23_07_03__rep2	S_23_07_03__rep3	S_23_09_06__rep1	S_23_09_06__rep2	S_23_09_06__rep3	S_23_10_25__rep1	S_23_10_25__rep2	S_23_10_25__rep3	S_24_01_04__rep1	S_24_01_04__rep2	S_24_01_04__rep3	S_24_03_04__rep1	S_24_03_04__rep2	S_24_03_04__rep3	S_24_04_16__rep1	S_24_04_16__rep2	S_24_04_16__rep3	S_24_07_05__rep1	S_24_07_05__rep2	S_24_07_05__rep3	S_24_09_05__rep1	S_24_09_05__rep2	S_24_09_05__rep3	S_24_11_06__rep1	S_24_11_06__rep2	S_24_11_06__rep3	S_25_03_07__rep1	S_25_03_07__rep2	S_25_03_07__rep3	S_25_04_30__rep1	S_25_04_30__rep2	S_25_04_30__rep3	S_25_07_10__rep1	S_25_07_10__rep2	S_25_07_10__rep3	S_25_09_12__rep1	S_25_09_12__rep2	S_25_09_12__rep3	S_25_11_25__rep1	S_25_11_25__rep2	S_25_11_25__rep3
GC percentage	numeric_mean	gc_percentage.mean	58.499047013009005	58.495101679706806	58.475041791424616	59.61651277625422	59.61651277625422	59.61651277625422	58.86398904025164	58.91152864557133	58.8559234084303	59.99277093881781	59.96539728499084	60.01966279492233	59.683599715518184	59.6735042073536	59.65972985684739	58.755970343228846	58.684808705593554	58.74472133009654	60.87850058739729	60.866167421670106	60.87687563350978	61.220079832822925	61.254107062366	61.19892172252598	59.32603000844542	59.266172234653254	59.27048852137026	58.027959431885705	57.99403459777012	58.08728876312037	59.08229438999131	59.11503395864096	59.10565451944084	60.53046625103936	60.52202175531598	60.54610824436145	59.50230649480848	59.45300931378505	59.508473211605434	59.20631350353798	59.23618594114864	59.22954779372012	61.74253487956	61.75802521112327	61.75313385630584	59.74559654273161	59.77931663628009	59.727241575893686	59.47872822675866	59.4963012152854	59.47713919502864	59.296859422435105	59.301664563214985	59.25441747578814	60.44732480958377	60.571671423116875	60.66405577203689	59.93538469389425	59.8806936381712	59.91251736146143	60.15618471175642	60.07385421357844	60.16231528578211	60.182108464747294	60.270292271186754	60.24299176938582	59.426440424297915	59.44185840684607	59.40074047214937
GC percentage	unannotated	gc_percentage.unannotated	0.1112084201975736	0.11210324070989053	0.11321383354434034	0.11769428235078407	0.11769428235078407	0.11769428235078407	0.09515559405607817	0.09520319089188825	0.09452414270161308	0.07545685029523191	0.07460328037389632	0.07507290248680083	0.11560954094438389	0.11636157094942608	0.116260031033162	0.10945685664154893	0.10954570406820928	0.11040879335677342	0.10554756986425198	0.10541747184640671	0.10581411214449532	0.15628579678684204	0.15747571768099985	0.1567427264101793	0.08838415088826596	0.08791770189786804	0.08813982046470051	0.10669306704484956	0.10642652476458869	0.10662960459725	0.11558732908771827	0.11539694174467088	0.11546992355943045	0.13540347837676256	0.13571444437042413	0.1355875194750285	0.10038807286760239	0.10053720961966094	0.09992479699949057	0.09558713870038132	0.09421952295282918	0.09447019962115163	0.07902661297746047	0.07787794267439571	0.07873468571811981	0.10632498484835703	0.10734038401128135	0.10659787337335117	0.1389859335484569	0.13849409957887496	0.13799591936459354	0.10022624362603519	0.09979469898179497	0.10058797957775042	0.07077014853389493	0.07147458170311682	0.07172525837147752	0.04950705543761787	0.04914531948582339	0.04905012581428206	0.07752572608968492	0.07721158697372038	0.07711956642454175	0.0768657166338346	0.07695456406061275	0.07779861461478534	0.048212421504863705	0.048456751928483935	0.048126747200472955
GC percentage	unclassified	gc_percentage.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
acidophilic	consensus_true	acidophilic.true	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acidophilic	consensus_false	acidophilic.false	0.26822720825521973	0.27006761923802775	0.26967097893996717	0.2955382726155575	0.2955382726155575	0.2955382726155575	0.30086594509856	0.30046295855580807	0.30043122733200567	0.23262160198253745	0.23350373000533936	0.23413200823743996	0.2564580973322958	0.25604241830000707	0.2555029874946633	0.2494677087199881	0.24953117116779353	0.2496834810421653	0.2612399927653227	0.26143038010829933	0.26086873744632855	0.3173058921709897	0.3180198447073817	0.31682357756856844	0.2706863781029439	0.27069589747005407	0.27185091401796246	0.26670093638839937	0.26546659178105136	0.2667390138569883	0.28272203130605295	0.28389291346582185	0.28253481708529105	0.3379883038709031	0.33834686670030156	0.3386990832849801	0.2584920687806149	0.25829216207044986	0.2573592640894147	0.27594424189358224	0.2774038781901587	0.2760426086873824	0.22377176365321652	0.2248760102427998	0.2245967754730518	0.27065464687904844	0.269597997125125	0.2693155892329038	0.29536057776211816	0.2959000085674024	0.2949607643416851	0.2781559081952327	0.27924428917293315	0.2793648678235792	0.0704528362954375	0.07118900068856046	0.07024975646286508	0.1390176647723136	0.1370725407508253	0.1383513090716137	0.1408929801013849	0.14038210739753545	0.14105480934292738	0.15883381406142666	0.1593097824189703	0.15726946472602912	0.13329652511368542	0.13330921760320552	0.13304902156774284
acidophilic	no_majority	acidophilic.no_majority	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acidophilic	unannotated	acidophilic.unannotated	0.1115447711702938	0.11239834109161725	0.11353749202752383	0.11797669024297462	0.11797669024297462	0.11797669024297462	0.09552367625264027	0.09556809996606594	0.09489539802055978	0.07573925818742222	0.07487616889893423	0.07530454042084428	0.11590146820372627	0.11665032508638437	0.116564650782041	0.10978686136950083	0.10990744002000379	0.11075149057426192	0.1057855540430635	0.1057157453505175	0.10606796193522819	0.15661262839241055	0.15781206865372036	0.15706955801574735	0.08868242439237697	0.08824136038105254	0.0884349208464273	0.10701355240564936	0.10675652949254119	0.1069215318565928	0.11592050693805458	0.11567934963686136	0.11579040892023011	0.13574934871663558	0.13606666095506575	0.1359460823044386	0.10071807759555448	0.10081961751185144	0.1002516286050587	0.09585050785826624	0.09457808578223909	0.0947621268804941	0.07926142403388853	0.07813179246512861	0.07896949677454718	0.10671210577922424	0.10772750494214874	0.10688662751030927	0.1392810339301833	0.13880823869490627	0.13829419286870465	0.10054990210921891	0.10013104995451558	0.10094019616239164	0.07086534220541962	0.07155708288510489	0.07180458643108142	0.049678404046362146	0.049326187461720294	0.04922147442302656	0.07766851659697194	0.07740832056153815	0.07728456878851782	0.07703389212019496	0.07714177828127791	0.07796996322352981	0.048374250746455696	0.04859954243577099	0.04830761517636992
acidophilic	unclassified	acidophilic.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
aerobic growth: anoxygenic phototrophy	consensus_true	aerobic_growth_anoxygenic_phototrophy.true	0.0006251051096789	0.000698086924515	0.0006028932529895	0.0008091462079589999	0.0008091462079589999	0.0008091462079589999	0.0007266450259719	0.0006600094559042001	0.0007488568826616001	0.0005965470082213999	0.0005902007634528	0.0006346244768311999	0.0007678956169653	0.0007678956169669001	0.0007425106378923	0.0006663557006733001	0.0005838545186847999	0.0006853944349777	0.0008821280227949999	0.001034437897235	0.000942417348094	0.001158189670217	0.001091554100149	0.001085207855382	0.0007488568826607001	0.0006536632111367001	0.000656836333521	0.0004981802143129	0.0005426039276907	0.0005330845605377	0.0006949138021302	0.000685394434978	0.000666355700673	0.001097900344919	0.001028091652466	0.001031264774851	0.000653663211136	0.000729818148356	0.0007202987812039999	0.000720298781204	0.0006473169663680999	0.0007329912707398	0.000729818148357	0.0007710687393501	0.00079328059604	0.0007837612288870001	0.000809146207959	0.000853569921338	0.000970975449552	0.0008884742675639999	0.000936071103327	0.000713952536436	0.0007044331692817999	0.0007837612288870001	0.00030779287126349997	0.0002855810145741	0.0002982735041107	0.000352216584641	0.0003014466264945	0.0003490434622578	0.00040298654278810004	0.00043154464424510004	0.0004029865427884	0.0004347177666288	0.000472795235239	0.00045375650093490004	0.0002824078921899	0.00032365848318410004	0.0003204853608002
aerobic growth: anoxygenic phototrophy	consensus_false	aerobic_growth_anoxygenic_phototrophy.false	0.26008814933985636	0.26200788838226685	0.2617032686333459	0.28325511586649565	0.28325511586649565	0.28325511586649565	0.2916385052054346	0.2911181131344665	0.2912640767641852	0.2242350395212081	0.2254217872928932	0.22590092877293538	0.2489980866071421	0.2488870273237321	0.24816355542009902	0.2397706467140046	0.24004036211678115	0.23999911152571307	0.24520620535817828	0.24575198240817736	0.24459696586038077	0.3002662249680563	0.30097065813731394	0.299923527750548	0.2635595452281265	0.264067244809551	0.2652920700499091	0.26005007187120366	0.25857774308504855	0.25958679600309864	0.27225072743833123	0.27322487601028767	0.2722094768472434	0.3192256312133898	0.3196920802038342	0.31940649918931624	0.2478494163041503	0.24801759179054672	0.24627872072393728	0.26665968579753396	0.2683509600281541	0.2666025695945117	0.21272929775634247	0.21361777202381732	0.2133417103764393	0.2580763897482481	0.2565501178814787	0.25665165779774	0.2801962258882418	0.28096729462755254	0.27953621643230087	0.26812884146129856	0.26911885564508825	0.26923626117334987	0.06575026892211948	0.0662674878707393	0.06528064680927553	0.1340866325873368	0.13238266586704542	0.133728069757901	0.1355304032721647	0.13483548947002946	0.13576521432853828	0.15228448946052095	0.1528207471433704	0.15124053219613254	0.1296696462285939	0.12956176006751635	0.1293237758887429
