metric	authoritative_value	reported_rounded_value	source	definition	status
Mantel Spearman r	0.9962260152263577	0.996	retained original analysis output	Spearman correlation used by the retained Mantel output	PASS
Procrustes correlation	0.9951798940805437	0.995	recalculated from retained five-axis raw_bray and eqdepth_bray coordinates	sqrt(1 - scipy.spatial.procrustes disparity)	PASS
