CoA_ID	original_bin_ID	harmonised_RGI_hits	gene_symbols
CoA-1	FLYE-MetaBAT2Refined-group-group_2025_4samples.8	0	-
CoA-2	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106	3	rsmA; adeF; adeF
CoA-3	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1	3	vanY gene in vanF cluster; vanH gene in vanO cluster; vanT gene in vanG cluster
CoA-4	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0	2	vanY gene in vanA cluster; vanT gene in vanG cluster
