sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
S_21_10_22	-0.056970846726198496	0.039102454171571044	0.013388244917657229	-0.021232604362224336	0.030469296459196188	0.007708990301472992	-0.005980957343122647	-0.013865432277041187	-0.021713642028086146	0.016906944458143745	-0.00030505860500971147	0.03024597284208923	0.008400841682773887	0.0068660362631924	-0.009510270808754804	-0.00772855084725803	0.0038806990749721067	-0.00585848198955889	0.002622477918743592	0.002779343978933765	0.0007501782026380432	0.0	0.0
S_21_12_20	-0.004334624762081698	0.01708314635532829	-0.005348438638903544	0.01190524437221587	0.013453906974697366	0.021002193421829126	0.0015369755409775031	0.013831173018430282	0.017412935531920602	0.037371992434791015	-0.01224241545994458	-0.00527529220349986	-0.021820217415494926	0.00997790285543276	-0.007003159714708037	0.0023979305940219045	0.0037452114579620806	0.005915578141688152	0.00044824107896163394	-0.005640629329299269	0.00035099297978431586	0.0	0.0
S_22_02_24	-0.08679201785898352	0.02350912508117151	0.0033564144362706887	-0.014908339053050966	-0.04172447485566733	-0.016455795297441043	0.018093963779315624	0.009762275169984444	8.550260698932028e-05	-0.0153502990950025	-0.014805811367229811	0.022490309115636608	-0.014772576963181709	0.0070676947306463015	0.007544133730884118	0.01355988169103685	-0.004574637285033853	0.0055369904152801006	0.0009876304659942425	0.0036897927917576468	-7.20522070230891e-06	0.0	0.0
S_22_04_28	-0.042769653856511304	-0.006358450380792675	-0.001107747500453039	0.045930549473312744	-0.02189658913505846	0.009525173796689526	0.0047390675764931965	0.026500047313329198	0.02288333302239852	0.009384521280092406	0.009570079164970591	0.008600814377137556	0.020268860134400386	0.0007140688486876524	0.0022637687290706166	-0.007694384464679436	-0.015204123075532356	-0.00015392723425559685	0.0034115042940764495	0.000456761366760065	0.0024638411341696147	0.0	0.0
S_22_06_29	-0.08837519737480096	-0.0966380600030523	0.091271298872352	-0.04810660236486186	0.03259126731585949	-0.0028121558874276945	0.006481862551519578	0.0069919739133218065	0.01296754417296431	-0.0016250708467951415	-0.007278420297434021	-0.008462137689831629	0.0010162724673467016	-0.006279903458558895	-0.0037530908580063636	0.001104327865084818	-0.0010162540579701416	-3.679479562764726e-05	0.0028409356209698113	0.005362020336084196	0.0010845869690891002	0.0	0.0
S_22_09_09	-0.019015692911004516	0.05732905160931884	0.01249912465004004	-0.018651719387834314	0.008556188778609159	0.04899154904113246	-0.022923009306663897	0.0036036824417856	0.018416000405893727	-0.02072136936090224	-0.016442435632690964	0.002123271506422213	0.006261464054644062	-9.336470573029824e-05	0.012940516985251517	-0.007779759900545216	0.006179936895164383	-0.0012645634629894834	-0.0016979955489123638	-0.0040568774414607	-0.0040971810886559525	0.0	0.0
S_22_10_21	0.02198005227455564	-0.07615899807144504	-0.05477958954176257	-0.05686547961175358	-0.01708269482287232	-0.030925565477032124	-0.0067885546234004975	-0.02015257438858512	0.006573583275529998	0.012845545655260837	-0.010198720944463542	0.004655191912681031	0.009071252432753443	-0.002099930509221208	0.008425683940601836	0.0002208059571819396	-0.0015053459426872693	-0.003978874276783289	-0.006216439785024669	-0.00828396690484859	0.0018632788826366757	0.0	0.0
S_22_12_16	0.0813453950025486	-0.04989785071333584	-0.021752932089028357	-0.003991529547761475	0.013881359138262538	0.06786108810036137	0.04669396757943289	-0.009320942920689216	-0.016843846087270357	-0.008793947980120207	0.0023785408524103773	-0.004014986420657877	-0.0028630235822899213	0.0057941661782216596	0.003691374819698094	0.0005540877465882189	-0.006148940925405301	-0.0017723901991433626	-0.001785427032347951	-0.0017488352094671038	0.0016872644568936292	0.0	0.0
S_23_04_20	-0.0971521109748729	0.0006661324596906906	-0.002772953752273254	-0.0062769846448830005	-0.03487322871029445	-0.016314655117464282	0.04244640974399124	-8.249526082698393e-05	-0.009450700962986343	0.009942258497458981	0.007233267177166327	-0.007652272907072236	0.006716030379537813	-0.006798578785928088	-0.0007569994663703506	-0.00782614211760905	0.0067070929206764765	0.0046367713326116305	0.0049469373385025335	-0.0023379197210229154	-0.007517185279599148	0.0	0.0
S_23_07_03	-0.06535799858249529	0.08308153606768001	0.014111026410038325	-0.03855467752719595	-0.020385864341337035	0.007467719929653483	-0.003154340812236586	0.0026238678859524986	-0.0196362390533728	-0.004403089051310357	0.01421812142024769	-0.01626720862500488	0.008397493313848937	0.004484848117765859	-0.005732216082409339	0.006387185694126084	0.00021518323785472946	0.0019182180290879419	-0.0001356701821904692	-0.002955964781282185	0.0047436491726893055	0.0	0.0
S_23_09_06	-0.026453563199665214	0.03166267120987676	-0.008067609758740931	-0.0006138223436273546	0.016210368192243856	-0.0023633679453507208	5.896877101842616e-07	0.0033955097071137127	0.004568270385361717	-0.007278576284832037	0.015487356259666987	0.008124446200349683	-0.013330946892360458	-0.028805067740466313	0.0013562969875325272	-0.0040999988872795915	0.0027966076918472197	0.0068452141464052105	-0.0005699598935862807	-0.0053584006551100375	0.004551517712829139	0.0	0.0
