contig_id	MAG_ID
ctg29321	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg29384	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg29586	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30298	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30320	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30525	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30600	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30671	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30691	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30731	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg30768	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg31047	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg31162	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg33160	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg34568	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg36211	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg38739	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg38874	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg39612	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg39851	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg40568	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg40649	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg40738	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg41499	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106
ctg1330	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg3998	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg4278	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg5041	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg5681	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg6140	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg6814	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg7024	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg7927	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg10156	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg10700	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg10975	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg13603	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg13837	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg14523	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg14625	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg15697	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
ctg15977	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1
