sample_id	taxon_rank	taxon_name	taxid_if_available	mean_relative_abundance_classified_only	sd_relative_abundance_classified_only	replicates_detected	mean_direct_reads_if_available	mean_clade_reads	notes
S_21_10_22	phylum	Aquificae	200783	0.0003021001255599142	2.0969690705468506e-05	3	0.0	44.333333333333336	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Crenarchaeota	28889	0.0002158653978553259	3.312725987335942e-05	3	0.0	31.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Lokiarchaeota	1655434	0.00016351771072438666	3.099538576952662e-05	3	0.0	24.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Thermoplasmatota	2283796	0.00016122460131957092	1.5113090702763828e-05	3	0.0	23.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Peploviricota	2731361	0.00015443172641126305	3.1991681349320476e-05	3	0.0	22.666666666666668	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Armatimonadetes	67819	0.0001522337796105375	4.9472504114744994e-05	3	0.0	22.333333333333332	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Balneolaeota	1936987	0.00014988417458557668	3.5831672091708834e-05	3	0.0	22.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Elusimicrobia	74152	0.00013176829153917633	1.458493154723077e-05	3	0.0	19.333333333333332	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Saccharibacteria	95818	0.00012265421933432252	5.034748252921086e-07	3	6.333333333333333	18.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Cloacimonetes	456828	0.00010217733209014998	1.7728132302124365e-05	3	0.0	15.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Atribacterota	67818	9.085245415779343e-05	1.7093325156067138e-05	3	0.0	13.333333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Omnitrophica	67812	9.080124808375581e-05	1.9344980629232744e-05	3	0.0	13.333333333333334	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Dictyoglomi	68297	7.490643002038842e-05	1.7761994820968138e-05	3	0.0	11.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Candidatus Bipolaricaulota	67810	7.263985854972351e-05	1.6894065154942484e-05	3	0.0	10.666666666666666	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Fibrobacteres	65842	4.769658323989649e-05	1.3585474207420411e-05	3	0.0	7.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_10_22	phylum	Caldiserica	67814	4.313348261257244e-05	1.0270354763839025e-05	3	0.0	6.333333333333333	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
