	S_21_10_22	S_21_12_20	S_22_02_24	S_22_04_28	S_22_06_29	S_22_09_09	S_22_10_21	S_22_12_16	S_23_04_20	S_23_07_03	S_23_09_06	S_23_10_25	S_24_01_04	S_24_03_04	S_24_04_16	S_24_07_05	S_24_09_05	S_24_11_06	S_25_03_07	S_25_04_30	S_25_07_10	S_25_09_12	S_25_11_25
CoA-3	0.5506	1.6154	0.3531	0.6223	0.0324	1.1195	0.2546	2.2279	0.2407	0.6637	0.8394	1.789	0.4934	0.3711	0.4714	0.292	1.983	0.732	1.7846	0.5106	1.4851	1.4994	0.1121
CoA-4	1.5201	2.7303	0.4422	0.8105	0.0428	1.8419	0.3846	4.5274	0.6394	1.2086	1.2153	1.9318	0.6933	0.6382	0.6847	0.5329	3.6259	0.951	3.2698	0.6599	2.4877	2.0759	0.3603
CoA-1	2.6477	2.5378	3.1824	1.7722	2.3214	1.3371	1.5736	2.0354	2.6145	2.0378	2.9651	4.9814	2.6173	2.4863	1.0365	3.127	2.3173	2.7874	0.2244	1.0436	1.139	1.204	0.8777
CoA-2	0.4976	0.7421	0.5763	0.4097	0.2808	0.6369	0.3057	1.0426	0.4276	0.5715	0.5786	0.6435	0.4043	0.4522	0.3893	0.4136	0.7852	0.5604	0.4542	0.3335	0.7104	0.5839	0.2124
