contig_id	MAG_ID
contig_126135	FLYE-MetaBAT2Refined-group-group_240416.579
contig_13660	FLYE-MetaBAT2Refined-group-group_240416.579
contig_141061	FLYE-MetaBAT2Refined-group-group_240416.579
contig_1925	FLYE-MetaBAT2Refined-group-group_240416.579
contig_1981	FLYE-MetaBAT2Refined-group-group_240416.579
contig_24513	FLYE-MetaBAT2Refined-group-group_240416.579
contig_264826	FLYE-MetaBAT2Refined-group-group_240416.579
contig_267479	FLYE-MetaBAT2Refined-group-group_240416.579
contig_270091	FLYE-MetaBAT2Refined-group-group_240416.579
contig_270581	FLYE-MetaBAT2Refined-group-group_240416.579
contig_272186	FLYE-MetaBAT2Refined-group-group_240416.579
contig_27495	FLYE-MetaBAT2Refined-group-group_240416.579
contig_29670	FLYE-MetaBAT2Refined-group-group_240416.579
contig_35747	FLYE-MetaBAT2Refined-group-group_240416.579
contig_36419	FLYE-MetaBAT2Refined-group-group_240416.579
contig_42052	FLYE-MetaBAT2Refined-group-group_240416.579
contig_45771	FLYE-MetaBAT2Refined-group-group_240416.579
contig_46743	FLYE-MetaBAT2Refined-group-group_240416.579
contig_59964	FLYE-MetaBAT2Refined-group-group_240416.579
contig_6099	FLYE-MetaBAT2Refined-group-group_240416.579
contig_61147	FLYE-MetaBAT2Refined-group-group_240416.579
contig_63465	FLYE-MetaBAT2Refined-group-group_240416.579
contig_63468	FLYE-MetaBAT2Refined-group-group_240416.579
contig_67467	FLYE-MetaBAT2Refined-group-group_240416.579
contig_73200	FLYE-MetaBAT2Refined-group-group_240416.579
contig_867	FLYE-MetaBAT2Refined-group-group_240416.579
contig_9632	FLYE-MetaBAT2Refined-group-group_240416.579
contig_105172	FLYE-MetaBAT2Refined-group-group_240416.722
contig_1204	FLYE-MetaBAT2Refined-group-group_240416.722
contig_12860	FLYE-MetaBAT2Refined-group-group_240416.722
contig_1888	FLYE-MetaBAT2Refined-group-group_240416.722
contig_2293	FLYE-MetaBAT2Refined-group-group_240416.722
contig_267338	FLYE-MetaBAT2Refined-group-group_240416.722
contig_3057	FLYE-MetaBAT2Refined-group-group_240416.722
contig_33210	FLYE-MetaBAT2Refined-group-group_240416.722
contig_33213	FLYE-MetaBAT2Refined-group-group_240416.722
contig_63462	FLYE-MetaBAT2Refined-group-group_240416.722
contig_8139	FLYE-MetaBAT2Refined-group-group_240416.722
contig_88112	FLYE-MetaBAT2Refined-group-group_240416.722
contig_137129	FLYE-MetaBAT2Refined-group-group_240416.82
contig_13995	FLYE-MetaBAT2Refined-group-group_240416.82
contig_15036	FLYE-MetaBAT2Refined-group-group_240416.82
contig_15037	FLYE-MetaBAT2Refined-group-group_240416.82
contig_21814	FLYE-MetaBAT2Refined-group-group_240416.82
contig_269150	FLYE-MetaBAT2Refined-group-group_240416.82
contig_3029	FLYE-MetaBAT2Refined-group-group_240416.82
contig_34106	FLYE-MetaBAT2Refined-group-group_240416.82
contig_424	FLYE-MetaBAT2Refined-group-group_240416.82
contig_72728	FLYE-MetaBAT2Refined-group-group_240416.82
contig_9291	FLYE-MetaBAT2Refined-group-group_240416.82
contig_1	FLYE-MetaBAT2Refined-group-group_240416.820
contig_12681	FLYE-MetaBAT2Refined-group-group_240416.820
contig_13479	FLYE-MetaBAT2Refined-group-group_240416.820
contig_21871	FLYE-MetaBAT2Refined-group-group_240416.820
contig_266603	FLYE-MetaBAT2Refined-group-group_240416.820
contig_2884	FLYE-MetaBAT2Refined-group-group_240416.820
contig_31298	FLYE-MetaBAT2Refined-group-group_240416.820
contig_3236	FLYE-MetaBAT2Refined-group-group_240416.820
contig_39856	FLYE-MetaBAT2Refined-group-group_240416.820
contig_4331	FLYE-MetaBAT2Refined-group-group_240416.820
contig_47510	FLYE-MetaBAT2Refined-group-group_240416.820
contig_66472	FLYE-MetaBAT2Refined-group-group_240416.820
contig_83612	FLYE-MetaBAT2Refined-group-group_240416.820
contig_9575	FLYE-MetaBAT2Refined-group-group_240416.820
ctg23511	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg26226	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg60199	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg84789	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg112430	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg170218	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg201696	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg227087	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg271203	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg302417	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg309956	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg328379	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg339549	METAMDBG-CONCOCTRefined-group-group_240416.97
ctg14700	METAMDBG-MaxBin2Refined-group-group_220428.005
ctg24710	METAMDBG-MaxBin2Refined-group-group_220428.005
ctg37171	METAMDBG-MaxBin2Refined-group-group_220428.005
ctg39765	METAMDBG-MaxBin2Refined-group-group_220428.005
ctg49927	METAMDBG-MaxBin2Refined-group-group_220428.005
ctg33027	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg38852	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg55063	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg95614	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg105477	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg170766	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg181782	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg214719	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg256259	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg270214	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg300706	METAMDBG-MaxBin2Refined-group-group_240416.001
ctg45949	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg65193	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg66532	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg81882	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg101988	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg120832	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg140375	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg143171	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg163299	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg188065	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg203538	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg203839	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg206079	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg218148	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg220574	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg283692	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg286137	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg302514	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg339603	METAMDBG-MaxBin2Refined-group-group_240416.002
ctg31897	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg45526	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg63848	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg82325	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg179107	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg241049	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg245437	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg260936	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg304808	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg339439	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg339476	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg350132	METAMDBG-MaxBin2Refined-group-group_240416.006
ctg18432	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg19517	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg30489	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg76242	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg81129	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg89726	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg89787	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg98180	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg117868	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg142663	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg153045	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg153370	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg193123	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg197545	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg200151	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg201805	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg205703	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg214323	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg223805	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg231718	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg242939	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg254832	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg260737	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg271816	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg271910	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg286420	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg296627	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg301038	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg338276	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg342901	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg344734	METAMDBG-MaxBin2Refined-group-group_240416.014
ctg5317	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg7486	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg8028	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg18670	METAMDBG-MetaBAT2Refined-group-group_231025.73
ctg18722	METAMDBG-MetaBAT2Refined-group-group_231025.73
