sample_id	PC1	PC2	season	genus_clade_read_sum
S_21_10_22	0.08071655007891343	-0.01076517481927235	Autumn	120521.99999999994
S_21_12_20	0.0932289108338021	0.05265146727329203	Winter	130374.0
S_22_02_24	0.10698315107828889	-0.024640621699069734	Winter	124911.66666666679
S_22_04_28	-0.002425936428819909	-0.04969683153395794	Spring	97490.33333333333
S_22_06_29	0.0946681085082005	-0.0749957360343399	Summer	117493.5000000001
S_22_09_09	0.03689188871153691	0.008633092454197798	Autumn	113564.50000000022
S_22_10_21	0.06914153952462197	-0.009082343636509947	Autumn	115855.6666666666
S_22_12_16	0.09594725068890235	0.14768539515220883	Winter	149705.33333333352
S_23_04_20	0.08251308298190459	-0.05686480490921895	Spring	113465.49999999991
S_23_07_03	0.06329713820808548	-0.023627580316778425	Summer	117760.5000000001
S_23_09_06	0.09429093060340864	0.020609981352239282	Autumn	125851.49999999999
S_23_10_25	0.13612965502192853	0.09551274172266175	Autumn	149641.66666666648
S_24_01_04	0.06908281674491037	-0.01675321844094373	Winter	113242.16666666653
S_24_03_04	0.08744627773260955	-0.027470545098118904	Spring	117287.16666666664
S_24_04_16	-0.030003800344152634	-0.030951017815600078	Spring	95774.1666666666
S_24_07_05	0.08011957372901372	0.010431154489920545	Summer	118981.99999999997
S_24_09_05	0.09058034352296794	0.09259098324568377	Autumn	137108.83333333358
S_24_11_06	0.08440165873292409	-0.008099779360535393	Autumn	119763.66666666669
S_25_03_07	-0.45241750451601975	0.19773435377836143	Spring	45112.16666666665
S_25_04_30	-0.23223866954432518	-0.12344559098132049	Spring	59326.16666666667
S_25_07_10	-0.23200182574250994	-0.000621048585391459	Summer	69014.8333333333
S_25_09_12	-0.19149628621725318	-0.008054089780142852	Autumn	74562.83333333336
S_25_11_25	-0.22485485390893845	-0.16078078645736518	Autumn	57406.66666666663
