CoA_ID	COG	KEGG	CAZy	VFDB	AMP	ARG	GECCO	antiSMASH
CoA-1	2486	1675	30	402	46	0	0	4
CoA-2	3707	2211	44	600	58	3	2	10
CoA-3	4946	2277	76	521	78	3	2	7
CoA-4	5407	2315	66	516	101	2	14	15
